"countyId","countyCode","name","mnemonic","regionId","region","pop1948","pop1956","pop1966","pop1977","pop1992","pop2002","pop2011","sortCode","version","coords.x1","coords.x2","optional"
2,29,"Arad","AR",5,"Vest",476207,475620,481248,512020,487617,461791,430629,2,2019-12-19,21.7560856061478,46.2735517284522,TRUE
3,38,"Argeș","AG",3,"Sud",448964,483741,529833,631918,681206,652625,612431,3,2019-12-19,24.8862961707014,45.0412105794624,TRUE
4,47,"Bacău","BC",1,"Nord-Est",414996,507937,598321,667791,737512,706623,616168,4,2019-12-19,26.7716029317498,46.4215851581354,TRUE
5,56,"Bihor","BH",6,"Nord-Vest",536323,574488,586460,633094,638863,600246,575398,5,2019-12-19,22.2086520622731,46.9414507310039,TRUE
6,65,"Bistrița-Năsăud","BN",6,"Nord-Vest",233650,255789,269954,286628,326820,311657,286225,6,2019-12-19,24.5197362624992,47.2366180070159,TRUE
7,74,"Botoșani","BT",1,"Nord-Est",385236,428050,452406,451217,461305,452834,412626,7,2019-12-19,26.7619471151153,47.8588666494629,TRUE
9,92,"Brăila","BR",2,"Sud-Est",271251,297276,339954,377954,392031,373174,321212,9,2019-12-19,27.6713928252119,45.0874304646411,TRUE
10,109,"Buzău","BZ",2,"Sud-Est",430225,465829,480951,508424,516961,496214,451069,10,2019-12-19,26.7495867099965,45.2448334956351,TRUE
11,118,"Caraș-Severin","CS",5,"Vest",302254,327787,358726,385577,376347,333219,295579,11,2019-12-19,22.0401508571809,45.1504045692798,TRUE
13,136,"Constanța","CT",2,"Sud-Est",311062,369940,465752,608817,748769,715151,684082,14,2019-12-19,28.2471824788278,44.2441275677541,TRUE
17,172,"Galați","GL",2,"Sud-Est",341797,396138,474279,581561,641011,619556,536167,18,2019-12-19,27.756101019179,45.7924428565527,TRUE
19,190,"Harghita","HR",7,"Centru",258495,273964,282392,326310,348335,326222,310867,21,2019-12-19,25.5565089765396,46.548642219916,TRUE
21,216,"Ialomița","IL",3,"Sud",244750,274655,291373,295965,306145,296572,274148,23,2019-12-19,27.2552495654122,44.6281092685637,TRUE
24,243,"Maramureș","MM",6,"Nord-Vest",321287,367114,427645,492860,540099,510110,478659,26,2019-12-19,23.9787010154893,47.6717785391344,TRUE
25,252,"Mehedinți","MH",4,"Sud-Vest",304788,304091,310021,322371,332673,306732,265390,27,2019-12-19,22.7843340103055,44.5866404466348,TRUE
26,261,"Mureș","MS",7,"Centru",461403,513261,561598,605345,610053,580851,550846,28,2019-12-19,24.6942316881807,46.608598725136,TRUE
29,298,"Prahova","PH",3,"Sud",557776,623817,701057,817168,874349,829945,762886,31,2019-12-19,26.0148755887641,45.1140831593241,TRUE
30,305,"Satu Mare","SM",6,"Nord-Vest",312672,337351,359393,393840,400789,367281,344360,32,2019-12-19,22.8957424375198,47.7058198768243,TRUE
32,323,"Sibiu","SB",7,"Centru",335116,372687,414756,481645,452873,421724,397322,34,2019-12-19,24.2421982560506,45.8586689167149,TRUE
33,332,"Suceava","SV",1,"Nord-Est",439751,507674,572781,633899,701830,688435,634810,35,2019-12-19,25.7458863366659,47.5528584068557,TRUE
35,350,"Timiș","TM",5,"Vest",588936,568881,607596,696884,700033,677926,683540,37,2019-12-19,21.3753857840549,45.7445116265151,TRUE
36,369,"Tulcea","TL",2,"Sud-Est",192228,223719,236709,254531,270997,256492,213083,38,2019-12-19,28.8583393684205,45.0487759778686,TRUE
37,378,"Vaslui","VS",1,"Nord-Est",344917,401626,431555,437251,461374,455049,395499,39,2019-12-19,27.7678504935393,46.526120703577,TRUE
38,387,"Vâlcea","VL",4,"Sud-Vest",341590,362356,368779,414241,438388,413247,371714,40,2019-12-19,24.1084792140229,45.0949418503328,TRUE
39,396,"Vrancea","VN",2,"Sud-Est",290183,326532,351292,369740,393408,387632,340310,41,2019-12-19,26.9789999704696,45.7875137712712,TRUE
18,181,"Gorj","GJ",4,"Sud-Vest",280524,293031,298382,348521,401021,387308,341594,20,2019-12-19,23.3207107014668,45.0035520557259,TRUE
20,207,"Hunedoara","HD",5,"Vest",306955,381902,474602,514436,547950,485712,418565,22,2019-12-19,22.9385416630666,45.7518032788615,TRUE
1,10,"Alba","AB",7,"Centru",361062,370800,382786,409634,413919,382747,342376,1,2019-12-19,23.4849403061371,46.1725194208126,TRUE
12,127,"Cluj","CJ",6,"Nord-Vest",520073,580344,629746,715507,736301,702755,691106,13,2019-12-19,23.5332208722647,46.812068914943,TRUE
31,314,"Sălaj","SJ",6,"Nord-Vest",262580,271989,263103,264569,266797,248015,224384,33,2019-12-19,23.1045463773518,47.184422730937,TRUE
51,519,"Călărași","CL",3,"Sud",287722,318573,337261,338807,338804,324617,306691,12,2019-12-19,27.0190838706917,44.3138434709592,TRUE
22,225,"Iași","IS",1,"Nord-Est",431586,516635,619027,729243,811342,816910,772348,24,2019-12-19,27.2844777839167,47.1989177656268,TRUE
27,270,"Neamț","NT",1,"Nord-Est",357348,419949,470206,532096,578420,554516,470766,29,2019-12-19,26.3735530464246,46.9696331728796,TRUE
8,83,"Brașov","BV",7,"Centru",300836,373941,442692,582863,643261,589028,549217,8,2019-12-19,25.3011265428395,45.7650179498145,TRUE
14,145,"Covasna","CV",7,"Centru",157166,172509,176858,199017,233256,222449,210177,15,2019-12-19,25.9891407341791,45.9378847277328,TRUE
34,341,"Teleorman","TR",3,"Sud",487394,510488,516222,518943,483840,436025,380123,36,2019-12-19,25.1965699706467,44.0281259077763,TRUE
15,154,"Dâmbovița","DB",3,"Sud",409272,438985,453241,527620,562041,541763,518745,16,2019-12-19,25.495671002538,44.8650585565321,TRUE
28,289,"Olt","OT",4,"Sud-Vest",442442,458982,476513,518804,523291,489274,436400,30,2019-12-19,24.4382540156542,44.270770060311,TRUE
16,163,"Dolj","DJ",4,"Sud-Vest",615301,642028,691116,750328,762142,734231,660544,17,2019-12-19,23.6111241998461,44.1410591109615,TRUE
52,528,"Giurgiu","GR",3,"Sud",313793,325045,320120,327494,313352,297859,281422,19,2019-12-19,25.8800911235468,44.1434299697424,TRUE
40,403,"București","B",8,"București-Ilfov",1025180,1177661,1366684,1807239,2067545,1926334,1883425,42,2019-12-19,26.0875088705562,44.4414257814418,TRUE
